CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex
17015	17040	-0.0419922	0	0.743846	0.591619	1
15457	15490	-0.0189972	0	0.972614	0.834355	1
15457	15497	0.00100708	0	0.95614	0.856682	1
17128	23433	-41.038	0	0.73239	0.658806	1
23152	23175	-0.0110016	0	0.551524	0.458366	1
19240	19346	-0.0480042	0	0.904096	0.752952	1
16413	16422	0.0190125	0	0.954327	0.751788	1
16413	16423	0.0190125	0	0.929701	0.783651	1
12040	12146	-0.00100708	0	0.867992	0.720398	1
17116	17130	-0.00801086	0	0.956529	0.914569	1
23364	23394	-0.00900269	0	0.701553	0.605036	1
13395	13599	0.0039978	0	0.911828	0.752483	1
15741	15766	0	0	0.958505	0.776187	1
12345	12790	-0.0449982	0	0.966031	0.723468	1
30460	31266	-264.111	0	0.898587	0.892791	1
8743	8801	-0.00699615	0	0.861066	0.581667	1
22986	23061	-0.00300598	0	0.763613	0.464401	1
23498	27731	-83.944	0	0.772869	0.488856	1
17111	17464	-0.0159912	0	0.885002	0.789253	1
22603	22833	-1.979	0	0.619161	0.623009	1
20908	23352	-24.003	0	0.698836	0.493627	1
10403	10460	0	0	0.792204	0.621719	1
14077	20836	-26.012	0	0.683866	0.546017	1
22393	28609	-131.08	0	0.789794	0.416224	1
27872	27873	-0.100983	0	0.552722	0.586486	1
16309	16545	-0.00799561	0	0.96259	0.814938	1
14442	14645	-0.019989	0	0.763567	0.412238	1
14070	14072	0.00700378	0	0.863413	0.718011	1
15524	15525	-0.00498962	0	0.854242	0.824252	1
21449	21453	0.0339966	0	0.641219	0.561048	1
28465	28726	-14.021	0	0.692283	0.451998	1
26114	26122	0.026001	0	0.65037	0.575833	1
21087	28932	-161.128	0	0.755738	0.433282	1
26114	26126	0.0370026	0	0.608988	0.557506	1
23286	25519	-42.138	0	0.551251	0.495561	1
10393	10586	0	0	0.840744	0.703558	1
1570	1915	0	0	0.860994	0.61803	1
13300	13326	-0.00698853	0	0.98059	0.910531	1
12065	12066	-0.0039978	0	0.937099	0.795178	1
18041	18056	-0.053009	0	0.947311	0.766059	1
33	10158	-42.019	0	0.907018	0.786467	1
18688	18691	-0.0120087	0	0.725299	0.696936	1
21415	21537	-3.983	0	0.553528	0.439942	1
27545	29664	-112.018	0	0.676135	0.599159	1
26938	27842	-28.031	0	0.679632	0.57288	1
26076	26282	-2.015	0	0.86384	0.677252	1
10158	10200	-0.012001	0	0.868371	0.683967	1
24484	24485	0.000991821	0	0.589715	0.654016	1
24490	26042	-19.996	0	0.835935	0.455825	1
25333	25421	-1.035	0	0.707885	0.505088	1
15392	15480	-0.000991821	0	0.949392	0.790916	1
21779	24156	-26.015	0	0.596409	0.440937	1
24555	24696	-0.00999451	0	0.933038	0.864563	1
21709	21711	0.00999451	0	0.715055	0.772308	1
11256	11258	-0.00299835	0	0.975441	0.854181	1
14028	14054	-0.0019989	0	0.833105	0.701153	1
11256	11257	0.029007	0	0.783384	0.580376	1
896	1407	-10.975	0	0.739169	0.59342	1
25161	28910	-109.009	0	0.79094	0.415094	1
